tweet_id,favorite_count,retweet_count,source
851953902622658560,0,10706,Twitter for iPhone
851861385021730816,0,23,Twitter for iPhone
851591660324737024,17300,3819,Twitter for iPhone
851464819735769094,25944,7855,Twitter for iPhone
851224888060895234,22090,6350,Twitter for iPhone
850753642995093505,33348,10352,Twitter for iPhone
850380195714523136,13994,2915,Twitter for iPhone
850333567704068097,3647,367,Twitter for iPhone
850145622816686080,17519,4244,Twitter for iPhone
850019790995546112,21944,5459,Twitter for iPhone
849776966551130114,32390,8404,Twitter for iPhone
849668094696017920,0,5513,Twitter for iPhone
849412302885593088,17039,3487,Twitter for iPhone
849336543269576704,12240,2101,Twitter for iPhone
849051919805034497,32617,7396,Twitter for iPhone
848690551926992896,27104,4826,Twitter for iPhone
848324959059550208,20229,4037,Twitter for iPhone
848213670039564288,8834,832,Twitter for iPhone
848212111729840128,17618,3444,Twitter for iPhone
847978865427394560,0,3652,Twitter for iPhone
847971574464610304,0,482,Twitter for iPhone
847962785489326080,25296,5730,Twitter for iPhone
847842811428974592,5935,1522,Twitter for iPhone
847617282490613760,7558,468,Twitter for iPhone
847606175596138505,20208,3774,Twitter for iPhone
847251039262605312,22036,4800,Twitter for iPhone
847157206088847362,21588,6572,Twitter for iPhone
847116187444137987,23108,3583,Twitter for iPhone
846874817362120707,21685,4404,Twitter for iPhone
846514051647705089,48410,13076,Twitter for iPhone
846505985330044928,15304,3492,Twitter for iPhone
846153765933735936,34394,10226,Twitter for iPhone
846139713627017216,33188,10972,Twitter for iPhone
846042936437604353,17256,3224,Twitter for iPhone
845812042753855489,31737,9894,Twitter for iPhone
845677943972139009,27154,5365,Twitter for iPhone
845459076796616705,0,15071,Twitter for iPhone
845397057150107648,8241,2072,Twitter for iPhone
845306882940190720,25225,6039,Twitter for iPhone
845098359547420673,0,8640,Twitter for iPhone
844979544864018432,14738,2909,Twitter for iPhone
844973813909606400,16361,3617,Twitter for iPhone
844704788403113984,42022,11633,Twitter for iPhone
844580511645339650,17871,3533,Twitter for iPhone
844223788422217728,14753,2450,Twitter for iPhone
843981021012017153,16327,3285,Twitter for iPhone
843856843873095681,23211,5220,Twitter for iPhone
843604394117681152,18310,3081,Twitter for iPhone
843235543001513987,23315,6852,Twitter for iPhone
842892208864923648,0,56625,Twitter for iPhone
842846295480000512,16440,4023,Twitter for iPhone
842765311967449089,7321,1439,Twitter for iPhone
842535590457499648,19637,3937,Twitter for iPhone
842163532590374912,26569,6568,Twitter for iPhone
842115215311396866,15204,3386,Twitter for iPhone
841833993020538882,0,17504,Twitter for iPhone
841680585030541313,27854,8748,Twitter for iPhone
841439858740625411,13755,4168,Twitter for iPhone
841320156043304961,21402,6080,Twitter for iPhone
841314665196081154,17305,5312,Twitter Web Client
841077006473256960,24926,5991,Twitter for iPhone
840761248237133825,0,1972,Twitter for iPhone
840728873075638272,0,18285,Twitter for iPhone
840698636975636481,197,3,Twitter for iPhone
840696689258311684,13377,1116,Twitter for iPhone
840632337062862849,9761,1972,Twitter for iPhone
840370681858686976,17918,5146,Twitter for iPhone
840268004936019968,20950,6497,Twitter for iPhone
839990271299457024,14640,2597,Twitter for iPhone
839549326359670784,29957,8805,Twitter for iPhone
839290600511926273,0,158,Twitter for iPhone
839239871831150596,29684,7422,Twitter for iPhone
838952994649550848,21289,4505,Twitter for iPhone
838921590096166913,12183,2357,Twitter for iPhone
838916489579200512,0,38,Twitter for iPhone
838831947270979586,0,12643,Twitter for iPhone
838561493054533637,11892,1504,Twitter for iPhone
838476387338051585,24664,5484,Twitter for iPhone
838201503651401729,0,11525,Twitter for iPhone
838150277551247360,1824,370,Twitter for iPhone
838085839343206401,150,0,Twitter for iPhone
838083903487373313,19183,3582,Twitter for iPhone
837820167694528512,37277,8952,Twitter for iPhone
837482249356513284,4204,495,Twitter for iPhone
837471256429613056,13967,2631,Twitter for iPhone
837366284874571778,23074,6005,Twitter for iPhone
837110210464448512,17480,2731,Twitter for iPhone
837012587749474308,0,88,Twitter for iPhone
836989968035819520,13879,2610,Twitter for iPhone
836753516572119041,21029,5237,Twitter for iPhone
836677758902222849,13782,2522,Twitter for iPhone
836648853927522308,0,626,Twitter for iPhone
836397794269200385,0,31314,Twitter for iPhone
836380477523124226,16037,3337,Twitter for iPhone
836260088725786625,23177,4850,Twitter for iPhone
836001077879255040,20924,4935,Twitter for iPhone
835685285446955009,0,9327,Twitter for iPhone
835574547218894849,19447,4121,Twitter for iPhone
835536468978302976,0,1939,Twitter for iPhone
835309094223372289,0,24013,Twitter for iPhone
835297930240217089,17847,3381,Twitter for iPhone
835264098648616962,8503,1939,Twitter for iPhone
835246439529840640,2259,83,Twitter for iPhone
835172783151792128,28552,6516,Twitter for iPhone
835152434251116546,24574,3443,Twitter for iPhone
834931633769889797,11838,1878,Twitter for iPhone
834786237630337024,22943,6159,Twitter for iPhone
834574053763584002,14993,2882,Twitter for iPhone
834477809192075265,0,12224,Twitter for iPhone
834458053273591808,10512,1899,Twitter for iPhone
834209720923721728,22594,5476,Twitter for iPhone
834167344700198914,17194,4130,Twitter for iPhone
834089966724603904,10971,2427,Twitter for iPhone
834086379323871233,14296,2512,Twitter for iPhone
833863086058651648,14661,2729,Twitter for iPhone
833826103416520705,16728,3904,Twitter for iPhone
833732339549220864,0,251,Twitter for iPhone
833722901757046785,22585,3636,Twitter for iPhone
833479644947025920,16258,2357,Twitter for iPhone
833124694597443584,22133,5513,Twitter for iPhone
832998151111966721,14549,2522,Twitter for iPhone
832769181346996225,0,43,Twitter for iPhone
832757312314028032,18423,4127,Twitter for iPhone
832682457690300417,13017,3368,Twitter for iPhone
832645525019123713,3195,594,Twitter Web Client
832636094638288896,17379,3220,Twitter for iPhone
832397543355072512,13126,2548,Twitter for iPhone
832369877331693569,18792,3652,Twitter for iPhone
832273440279240704,12385,2673,Twitter for iPhone
832215909146226688,0,7069,Twitter for iPhone
832215726631055365,0,10723,Twitter for iPhone
832088576586297345,72,3,Twitter for iPhone
832040443403784192,0,11131,Twitter for iPhone
832032802820481025,13887,4746,Twitter for iPhone
831939777352105988,26404,7031,Twitter for iPhone
831926988323639298,369,39,Twitter for iPhone
